Date,Truck No.,Going Do,Return Do,Start,From,To,Total Lts,Extra,MMSA Yard,Tanga Yard,Dar Yard,Dar Going,Moro Going,Mbeya Going,Tdm Going,Zambia Going,Congo Fuel,Zambia Return,Tunduma Return ,Mbeya Return,Moro Return,Dar Return,Tanga Return,Balance
,T525 DRF,1710,,Dar,Dar,Kasumbalesa,2000,50,,,,,,,,,,,,,,,,2050
,T525 DPN,1711,,Dar,Dar,Kasumbalesa,2000,50,,,550,,,450,,150,,,,,,,,900
,T590 DRE,1712,,Dar,Dar,Kasumbalesa,2000,50,,,550,,,450,,150,,,,,,,,900
,T133 EFP,1713,,Dar,Dar,Kasumbalesa,2000,30,,,550,,,450,,130,,,,,,,,900
,T525 EEQ,1714,,Dar,Dar,Kasumbalesa,2020,30,,,550,,,470,,130,,,,,,,,900
,T552 DRE,1715,,Dar,Dar,Kasumbalesa,2000,50,,,,120,430,450,,150,,,,,,,,900
,T581 DRE,1716,,Dar,Dar,Kasumbalesa,2000,50,,,550,,,450,,150,,,,,,,,900
,T704 DXY,1717,,Dar,Dar,Kasumbalesa,2430,100,,,580,,,450,,600,,,,,,,,900
,T686 EAQ,1718,,Dar,Dar,Kolwezi,2430,60,,,580,,,450,,560,,,,,,,,900
,T728 EQL,1719,,Dar,Dar,Kolwezi,2430,60,,,580,,,450,,560,,,,,,,,900
,T164 DZY,1720,,Dar,Dar,Tfm,2300,60,,,,,,,,,,,,,,,,2360
,T844 EKS,1721,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T532 DRF,1722,,Dar,Dar,Kolwezi,2440,100,,,550,,,450,,640,,,,,,,,900
,T541 EKT,1723,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T636 EAF,1724,,Dar,Dar,Kolwezi,2400,100,,,590,,,450,,600,,,,,,,,860
,T705 EHJ,1725,,Dar,Dar,Kolwezi,2400,60,,,,,,,,,,,,,,,,2460
,T661 ECQ,1726,,Dar,Dar,Kolwezi,2400,60,,,,,,,,,,,,,,,,2460
,T242 ELV,1727,,Dar,Dar,Kolwezi,2400,60,,,580,,,450,,560,,,,,,,,870
,T902 EEU,1728,,Dar,Dar,Kolwezi,2400,60,,,580,,,450,,560,,,,,,,,870
,T727 EQL,1729,,Dar,Dar,Kolwezi,2400,60,,,,,,,,,,,,,,,,2460
,T142 DZY,1730,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T214 ELV,1731,,Dar,Dar,Kolwezi,2430,60,,,580,,,450,,560,,,,,,,,900
,T141 EFP,1732,,Dar,Dar,Kolwezi,2400,60,,,580,,,450,,560,,,,,,,,870
,T671 ECQ,1733,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T667 ECQ,1734,,Dar,Dar,Kolwezi,2430,60,,,580,,,450,,560,,,,,,,,900
,T782 DWK,1735,,Dar,Dar,Kolwezi,2400,80,,,550,,,450,,580,,,,,,,,900
,T534 EEQ,1736,,Dar,Dar,Kolwezi,2400,60,,,,,,,,,,,,,,,,2460
,T756 ELY,1737,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T858 EKS,1738,,Dar,Dar,Kolwezi,2400,60,,,580,,,450,,560,,,,,,,,870
,T714 DXY,1739,,Dar,Dar,Kolwezi,2430,100,,,580,,,450,,600,,,,,,,,900
,T470 EKZ,1740,,Dar,Dar,Kolwezi,2400,60,,,550,,,450,,560,,,,,,,,900
,T162 DZY,1741,,Dar,Dar,Kolwezi,2400,60,,,,,,,,,,,,,,,,2460
,T432 EAF,1742,,Dar,Dar,Kolwezi,2430,100,,,580,,,450,,600,,,,,,,,900
