S/No.,Date,LPO No.,Diesel @,DO/SDO, Truck No,Ltrs,Price per Ltr,Amount,Destinations
1,1-May,1244,INFINITY,1399,T124 DYY,450,3858,1736100,Kolwezi
2,1-May,1244,INFINITY,1503,T829 DNH,450,3858,1736100,Lusaka 
3,1-May,1244,INFINITY,1446,T215 ELV,450,3858,1736100,Kolwezi
4,1-May,1244,INFINITY,1422,T238 ELV,500,3858,1929000,Kolwezi
5,1-May,1244,INFINITY,1477,T703 DXY,450,3858,1736100,Kolwezi
6,1-May,1244,INFINITY,1430,T480 EKZ,450,3858,1736100,Kolwezi
7,1-May,1245,LAKE KAPIRI,1399,T124 DYY,560,1.3,728,Kolwezi
8,1-May,1245,LAKE KAPIRI,1503,T829 DNH,50,1.3,65,Lusaka 
9,1-May,1245,LAKE KAPIRI,1446,T215 ELV,560,1.3,728,Kolwezi
10,1-May,1245,LAKE KAPIRI,1422,T238 ELV,560,1.3,728,Kolwezi
11,1-May,1245,LAKE KAPIRI,1477,T703 DXY,600,1.3,780,Kolwezi
12,1-May,1245,LAKE KAPIRI,1430,T480 EKZ,560,1.3,728,Kolwezi
13,1-May,1246,GBP MOROGORO,1492,T613 ENG,380,3840,1459200,KOLWEZI
14,1-May,1247,GBP MOROGORO,1110,T148 EGJ,380,3840,1459200,KOLWEZI
15,1-May,1248,GBP MOROGORO,1210,T583 DPN,40,3840,153600,Msa
16,1-May,1249,GBP MOROGORO,,T562 EAF,60,3840,230400,
17,2-May,1250,LAKE TUNDUMA,1215,T760 DNH ,100,3926,392600,Msa
18,2-May,1250,LAKE TUNDUMA,1220,T540 DRF,100,3926,392600,Msa
19,2-May,1251,INFINITY,1215,T760 DNH ,400,3858,1543200,Msa
20,2-May,1251,INFINITY,1220,T540 DRF,400,3858,1543200,Msa
21,2-May,1252,GBP MOROGORO,1215,T760 DNH ,100,3840,384000,Msa
22,2-May,1252,GBP MOROGORO,1220,T540 DRF,100,3840,384000,Msa
23,2-May,1253,GBP KANGE,1215,T760 DNH ,70,3860,270200,Msa
24,2-May,1253,GBP KANGE,1220,T540 DRF,70,3860,270200,Msa
25,2-May,1254,LAKE TUNDUMA,1196,T142 DZY,100,3926,392600,Dar
26,2-May,1255,INFINITY,1196,T142 DZY,400,3858,1543200,Dar
27,2-May,1256,INFINITY,1463,T521 EEQ,450,3858,1736100,Kolwezi
28,2-May,1256,INFINITY,1492,T613 ENG,500,3858,1929000,Kolwezi
29,2-May,1256,INFINITY,1407,T166 DZY,450,3858,1736100,Kolwezi
30,2-May,1256,INFINITY,1110,T148 EGJ,500,3858,1929000,Kolwezi
31,2-May,1256,INFINITY,1417,T218 EHE,450,3858,1736100,Kolwezi
32,2-May,1256,INFINITY,1428,T853 EKS,450,3858,1736100,Kolwezi
33,2-May,1257,LAKE KAPIRI,1463,T521 EEQ,560,1.3,728,Kolwezi
34,2-May,1257,LAKE KAPIRI,1492,T613 ENG,560,1.3,728,Kolwezi
35,2-May,1257,LAKE KAPIRI,1407,T166 DZY,560,1.3,728,Kolwezi
36,2-May,1257,LAKE KAPIRI,1110,T148 EGJ,560,1.3,728,Kolwezi
37,2-May,1257,LAKE KAPIRI,1417,T218 EHE,560,1.3,728,Kolwezi
38,2-May,1257,LAKE KAPIRI,1428,T853 EKS,560,1.3,728,Kolwezi
39,2-May,1258,GBP MOROGORO,1504,T533 DRF,150,3840,576000,Lusaka
40,2-May,1259,LAKE TUNDUMA,1195,T524 EEQ,100,3926,392600,Dar
41,2-May,1260,INFINITY,1195,T524 EEQ,400,3858,1543200,Dar
42,2-May,1261,CASH,1249,T525 DRF,40,4860.6,194424,Dar
43,2-May,1261,CASH,977,T463 EQC,100,4860.6,486060,Dar
44,2-May,1261,CASH,867,T593 DTB,20,4860.6,97212,Dar
45,2-May,1261,CASH,1393,T220 EPJ,560,4860.6,2721936,Kolwezi
46,2-May,1261,CASH,1396,T837 EKS,560,4860.6,2721936,Kolwezi
47,2-May,1261,CASH,1268,T714 DXY,350,4860.6,1701210,Dar
48,2-May,1261,CASH,976,T632 EQC,100,4860.6,486060,Dar
49,2-May,1261,CASH,978,T629 EQD,100,4860.6,486060,Dar
50,2-May,1262,GBP KANGE,,T583 DPN,100,3860,386000,
51,2-May,1263,GBP MOROGORO,1234,T709 EHJ,380,3840,1459200,Kolwezi
52,2-May,1264,LAKE CHILABOMBWE,1204,T148 DZY,110,1.3,143,Dar
53,2-May,1264,LAKE CHILABOMBWE,1212,T767 DNH,50,1.3,65,Msa
54,2-May,1265,LAKE TUNDUMA,1257,T762 DWK,100,3926,392600,Dar
55,2-May,1266,INFINITY,1257,T762 DWK,400,3858,1543200,Dar
56,2-May,1267,LAKE TUNDUMA,1286,T159 EGJ,100,3926,392600,Dar
57,2-May,1267,LAKE TUNDUMA,1517,T160 EGJ,100,3926,392600,Dar
58,2-May,1267,LAKE TUNDUMA,1522,T166 EGJ,100,3926,392600,Dar
59,2-May,1267,LAKE TUNDUMA,1518,T216 ELV,50,3926,196300,Dar
60,2-May,1267,LAKE TUNDUMA,1317,T358 EQF,100,3926,392600,Dar
61,2-May,1267,LAKE TUNDUMA,1000,T510 EEQ,100,3926,392600,Dar
62,2-May,1267,LAKE TUNDUMA,1521,T554 EKT,50,3926,196300,Dar
63,2-May,1267,LAKE TUNDUMA,1285,T606 EDD,100,3926,392600,Dar
64,2-May,1267,LAKE TUNDUMA,1259,T635 EAF,100,3926,392600,Dar
65,2-May,1267,LAKE TUNDUMA,1512,T659 ECQ,50,3926,196300,Dar
66,2-May,1267,LAKE TUNDUMA,1514,T662 ECQ,100,3926,392600,Dar
67,2-May,1267,LAKE TUNDUMA,1284,T681 EAQ,100,3926,392600,Dar
68,2-May,1267,LAKE TUNDUMA,1281,T684 ENG,100,3926,392600,Dar
69,2-May,1267,LAKE TUNDUMA,1279,T726 EQL,100,3926,392600,Dar
70,2-May,1267,LAKE TUNDUMA,1280,T729 EQL,100,3926,392600,Dar
71,2-May,1267,LAKE TUNDUMA,1282,T730 EET,100,3926,392600,Dar
72,2-May,1267,LAKE TUNDUMA,1520,T854 EKS,50,3926,196300,Dar
73,2-May,1267,LAKE TUNDUMA,1516,T861 EKS,100,3926,392600,Dar
74,2-May,1267,LAKE TUNDUMA,1515,T891 EEU,100,3926,392600,Dar
75,2-May,1267,LAKE TUNDUMA,1523,T657 ECQ,50,3926,196300,Dar
76,2-May,1267,LAKE TUNDUMA,1529,T679 ENG,50,3926,196300,Dar
77,2-May,1267,LAKE TUNDUMA,1519,T405 EAF,50,3926,196300,Dar
78,2-May,1267,LAKE TUNDUMA,1316,T364 EQF,100,3926,392600,Dar
79,2-May,1267,LAKE TUNDUMA,1315,T716 EQD,100,3926,392600,Dar
80,2-May,1267,LAKE TUNDUMA,1319,T357 EQF,100,3926,392600,Dar
81,2-May,1267,LAKE TUNDUMA,1312,T665 ECQ,100,3926,392600,Dar
82,2-May,1267,LAKE TUNDUMA,1318,T715 EQD,100,3926,392600,Dar
83,2-May,1267,LAKE TUNDUMA,1314,T356 EQF,100,3926,392600,Dar
84,2-May,1267,LAKE TUNDUMA,1264,T634 EAF,100,3926,392600,Dar
85,2-May,1267,LAKE TUNDUMA,1262,T614 ENG,100,3926,392600,Dar
86,2-May,1268,INFINITY,1286,T159 EGJ,400,3858,1543200,Dar
87,2-May,1268,INFINITY,1517,T160 EGJ,400,3858,1543200,Dar
88,2-May,1268,INFINITY,1522,T166 EGJ,400,3858,1543200,Dar
89,2-May,1268,INFINITY,1518,T216 ELV,350,3858,1350300,Dar
90,2-May,1268,INFINITY,1317,T358 EQF,400,3858,1543200,Dar
91,2-May,1268,INFINITY,1000,T510 EEQ,400,3858,1543200,Dar
92,2-May,1268,INFINITY,1521,T554 EKT,350,3858,1350300,Dar
93,2-May,1268,INFINITY,1285,T606 EDD,400,3858,1543200,Dar
94,2-May,1268,INFINITY,1259,T635 EAF,400,3858,1543200,Dar
