SN,DATE ,IMPORT OR EXPORT,D.O No.,Invoice Nos,CLIENT NAME ,TRUCK No.,TRAILER No.,CONTAINER No.,BORDER ENTRY DRC,LOADING POINT,DESTINATION,HAULIER,TONNAGES ,RATE PER TON,RATE
7094,45993,IMPORT,7094,,RELOAD,T532 EGD,T102 EFU,LOOSE CARGO,,DSM,LIKASI,,32,235,
7095,45993,IMPORT,7095,,RELOAD,T851 EKS,T901 EKY,LOOSE CARGO,,DSM,LIKASI,,32,235,
7096,45993,IMPORT,7096,,RELOAD,T432 EAF,T955 DZC,LOOSE CARGO,,DSM,LIKASI,,31,235,
7097,45993,IMPORT,7097,,RELOAD,T831 EKS,T880 EKY,LOOSE CARGO,,DSM,LIKASI,,32,235,
7098,45993,IMPORT,7098,,RELOAD,T844 EKS,T629 ELE,LOOSE CARGO,,DSM,LIKASI,,32,235,
7099,45993,IMPORT,7099,,RELOAD,T168 EGJ,T194 EFU,LOOSE CARGO,,DSM,LIKASI,,32,235,
7100,45993,IMPORT,7100,,RELOAD,T487 EEQ,T697 EEM,LOOSE CARGO,,DSM,LIKASI,,32,235,
7101,45993,IMPORT,7101,,GREATLAKES,T770 DWK,T295 DWL,GREATLAKES,,DSM,KOLWEZI,,28.132,,8400
7102,45993,IMPORT,7102,,RELOAD,T137 EFP,T617 EGS,LOOSE CARGO,,DSM,LIKASI,,32,235,
7103,45993,IMPORT,7103,,GREATLAKES,T592 DRE,T401 DQW,CONTAINERISED,,DSM,LUANSHYA ZAMBIA,,22.5,,4300
7104,45993,IMPORT,7104,,RELOAD,T790 EEU,T592 EEN,LOOSE CARGO,,DSM,LIKASI,,32,235,
7105,45993,IMPORT,7105,,GREATLAKES,T117 DVL,T403 DVT,CONTAINERISED,,DSM,KOLWEZI,,23.7,,8400
7106,45993,IMPORT,7106,,GREATLAKES,T524 DRF,T506 DQF,CONTAINERISED,,DSM,KOLWEZI,,23.37,,8400
7107,45993,IMPORT,7107,,GREATLAKES,T779 DWK,T303 DWL,CONTAINERISED,,DSM,LIKASI,,23.06,,7800
7108,45993,IMPORT,7108,,GREATLAKES,T772 DWK,T300 DWL,CONTAINERISED,,DSM,LIKASI,,23.623,,7800
7109,45993,IMPORT,7109,,GREATLAKES,T782 DWK,T614 DRH,CONTAINERISED,,DSM,LIKASI,,23.37,,7800
7110,45993,IMPORT,7110,,POLYTRA,T137 DZY,T951 DZC,FLATBED,,DSM,KOLWEZI,,32,250,
7111,45993,IMPORT,7111,,POLYTRA,T166 DZY,T879 DZC,FLATBED,,DSM,KOLWEZI,,32,250,
7112,45993,IMPORT,7112,,POLYTRA,T167 DZY,T448 DZE,FLATBED,,DSM,KOLWEZI,,32,250,
7113,45993,IMPORT,7113,,POLYTRA,T132 DZY,T885 DZC,FLATBED,,DSM,KOLWEZI,,32,250,
7114,45993,IMPORT,7114,,POLYTRA,T703 DXY,T635 DWL,FLATBED,,DSM,KOLWEZI,,31,250,
7115,45993,IMPORT,7115,,POLYTRA,T141 EFP,T621 EGS,FLATBED,,DSM,KOLWEZI,,32,250,
7116,45993,IMPORT,7116,,POLYTRA,T460 EAG,T894 EAK,FLATBED,,DSM,KOLWEZI,,32,250,
7117,45993,IMPORT,7117,,POLYTRA,T150 DZY,T561 DZE,FLATBED,,DSM,KOLWEZI,,32,250,
7118,45993,IMPORT,7118,,POLYTRA,T217 EHE,T470 EGT,FLATBED,,DSM,KOLWEZI,,32,250,
7119,45993,IMPORT,7119,,POLYTRA,T667 EAQ,T892 EAK,FLATBED,,DSM,KOLWEZI,,32,250,
7120,45993,IMPORT,7120,,POLYTRA,T483 EEQ,T693 EEM,FLATBED,,DSM,KOLWEZI,,32,250,
7121,45993,IMPORT,7121,,POLYTRA,T512 EGD,T446 DZE,FLATBED,,DSM,KOLWEZI,,32,250,
7122,45993,IMPORT,7122,,POLYTRA,T164 DZY,T559 DZE,FLATBED,,DSM,KOLWEZI,,32,250,
7123,45993,IMPORT,7123,,POLYTRA,T211 ELV,T621 EMF,FLATBED,,DSM,KOLWEZI,,32,250,
7124,45993,IMPORT,7124,,POLYTRA,T596 EDD,T986 EDK,FLATBED,,DSM,KOLWEZI,,32,250,
7125,45993,IMPORT,7125,,POLYTRA,T455 EAG,T894 DZS,FLATBED,,DSM,KOLWEZI,,32,250,
7126,45993,IMPORT,7126,,POLYTRA,T661 ECQ,T576 ECC,FLATBED,,DSM,KOLWEZI,,32,250,
7127,45993,IMPORT,7127,,POLYTRA,T710 EHJ,T760 EDR,FLATBED,,DSM,KOLWEZI,,32,250,
7128,45993,IMPORT,7128,,POLYTRA,T709 EHJ,T616 EGS,FLATBED,,DSM,KOLWEZI,,32,250,
7129,45993,IMPORT,7129,,POLYTRA,T732 EET,T582 EEN,FLATBED,,DSM,KOLWEZI,,32,250,
7130,45993,IMPORT,7130,,POLYTRA,T881 EEU,T601 EEN,FLATBED,,DSM,KOLWEZI,,32,250,
7131,45993,IMPORT,7131,,POLYTRA,T595 EDD,T965 EDK,FLATBED,,DSM,KOLWEZI,,32,250,
