 ,IMPORT REPORT,,,23-Jan,,,,,,,,
,,,,,,,,,,,,
,CONKEN 4 TRUCKS,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T139 EFP,T610 EGS,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
2,T475 EKZ,T703 ELK,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
3,T750 ELY,T627 EMF,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
4,T678 ENG,T848 EM,DSM TAHMEED YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,RELOAD 313MT DSM-LIKASI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T213 EHE,T466 EGT,DSM,WAITING TO OFFLOAD,FLATBED,NA,NA,NA,23-Jan,,,
2,T198 EHE,T528 EGT,KIBAHA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
3,T221 ELV,T617 EMF,KIBAHA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
4,T991 EFN,T597 EGS,MBUYUNI-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
5,T486 EEQ,T736 EEM,MBEYA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
6,T577 EAF,T889 DZS,SONGWE-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
7,T797 EEU,T596 EEN,TUNDUMA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
8,T699 DXY,T350 DYC,TUNDUMA-TZ,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
9,T432 EAF,T955 DZC,NAKONDE-ZMB,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
10,T168 EGJ,T194 EFU,NAKONDE-ZMB,ENROUTE DAR,FLATBED,NA,NA,NA,23-Jan,,,
,,,,,,,,,,,,
,BRIDGE 1043MT MBSA -KOLWEZI,,,,,,,,,,,
S/N,TRUCK,TRAILER,POSITION,STATUS,TYPE,RETURN,DSJ,DEPT DATE,DATE TODAY,,,
1,T539 EKT,T706 ELK,HOROHORO-TZ,WAITING CLEARANCE,FLATBED,NA,13,10-Jan,23-Jan,,,
2,T610 EDD,T210 EDL,HOROHORO-TZ,WAITING CLEARANCE,FLATBED,NA,13,10-Jan,23-Jan,,,
3,T684 EAQ,T906 EAK,HOROHORO-TZ,WAITING CLEARANCE,FLATBED,NA,11,12-Jan,23-Jan,,,
4,T206 EHE,T949 DQQ ,HOROHORO-TZ,WAITING CLEARANCE,FLATBED,NA,11,12-Jan,23-Jan,,,
5,T660 ECQ,T575ECC,HOROHORO-TZ,WAITING CLEARANCE,FLATBED,NA,11,12-Jan,23-Jan,,,
6,T703 EHJ,T480 EGT,BONJE-YARD,LOADED,FLATBED,NA,10,13-Jan,23-Jan,,,
7,T130 EFP,T603 EGS,BONJE-YARD,LOADED,FLATBED,NA,10,13-Jan,23-Jan,,,
8,T546 DRF,T505 DQF,CHANGAMWE-MBSA,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
9,T712 DXY,T347 DYC,CHANGAMWE-MBSA,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
10,T843 DNH,T744 DRD,CHANGAMWE-MBSA,WAITING TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
11,T644 EAF,T875 DZS,BONJE-YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
12,T775 DWK,T339 DWL,BONJE-YARD,TO LOAD,FLATBED,NA,NA,NA,23-Jan,,,
