SN,DATE ,IMPORT OR EXPORT,D.O No.,Invoice Nos,CLIENT NAME ,TRUCK No.,TRAILER No.,CONTAINER No.,BORDER ENTRY DRC,LOADING POINT,DESTINATION,HAULIER,TONNAGES ,RATE PER TON,RATE,
6343,3-Oct,IMPORT,6343,,POSEIDON,T844 EKS,T629 ELE,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6344,3-Oct,IMPORT,6344,,POSEIDON,T141 EFP,T621 EGS,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6345,3-Oct,IMPORT,6345,,POSEIDON,T168 EGJ,T194 EFU,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6346,3-Oct,IMPORT,6346,,POSEIDON,T532 EGD,T102 EFU,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6347,3-Oct,IMPORT,6347,,POSEIDON,T811 EEU,T581 EEN,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6348,3-Oct,IMPORT,6348,,POSEIDON,T487 EEQ,T697 EEM,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6349,3-Oct,IMPORT,6349,,POSEIDON,T589 DRE,T338 DRP,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6350,3-Oct,IMPORT,6350,,POSEIDON,T860 EKS,T915 EKY,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6351,3-Oct,IMPORT,6351,,POSEIDON,T432 EAF,T955 DZC,LOOSE CARGO,,DAR,CCR KOLWEZI,,31,180,,
6352,3-Oct,IMPORT,6352,,POSEIDON,T207 EHE,T467 EGT,LOOSE CARGO,,DAR,CCR KOLWEZI,,32,180,,
6353,3-Oct,EXPORT,6353,,POSEIDON,T854 EKS,T905 EKY,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6354,3-Oct,EXPORT,6354,,POSEIDON,T160 EGJ,T223 EFU,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6355,3-Oct,EXPORT,6355,,POSEIDON,T458 EAG,T895 DZS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6356,3-Oct,EXPORT,6356,,POSEIDON,T679 EAQ,T899E AK,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6357,3-Oct,EXPORT,6357,,POSEIDON,T149 EFP,T599 EGS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6358,3-Oct,EXPORT,6358,,POSEIDON,T598 DTB,T661DTH,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
6359,3-Oct,EXPORT,6359,,POSEIDON,T791 EEU,T594 EEN,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6360,3-Oct,EXPORT,6360,,POSEIDON,T859 EKS,T911 EKY,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6361,3-Oct,EXPORT,6361,,POSEIDON,T461 EAG,T886 EAK,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,32,180,,
6362,3-Oct,EXPORT,6362,,POSEIDON,T424 EAF,T947 DZS,LOOSE CARGO,,TENKEFUNGURUME,DAR,TFM ,31,180,,
