Date,Truck No.,Going Do,Return Do,Start,From,To,Total Lts,Extra,MMSA Yard,Tanga Yard,Dar Yard,Dar Going,Moro Going,Mbeya Going,Tdm Going,Zambia Going,Congo Fuel,Zambia Return,Tunduma Return ,Mbeya Return,Moro Return,Dar Return,Tanga Return,Balance
6-Oct,T705 DXY,6395,,DAR,DAR,Kpm,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T572 EAF,6396,,DAR,DAR,Kpm,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T510 EGD,6397,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T552 DRE,6398,,DAR,DAR,Kpm,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T839 EKS,6399,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T583 DPN,6400,,DAR,DAR,Kpm,2200,100,,,-550,,,-450,,-600,,,,,,,,700
,T862 EKS,6401,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T148 DZY,6402,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T531 EGD,6403,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T551 EKT,6404,,DAR,DAR,Kpm,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T664 ECQ,6449,6868,DAR,COMIKA ,DAR,2200,60,,,-550,,,-450,,,,,,,,,,1260
,T784 DWK,6450,,DAR,DAR,Likasi,2200,80,,,-550,,,-450,,-380,,,,,,,,900
,T857 DNH,6451,,DAR,DAR,Likasi,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T753 ELY,6452,,DAR,DAR,Likasi,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T668 ECQ,6453,6865,DAR,COMIKA ,DAR,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T405 EAF,6454,6870,DAR,COMIKA ,DAR,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T643 EAF,6455,6869,DAR,COMIKA ,DAR,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T511 EGD,6456,6866,DAR,COMIKA ,DAR,2200,60,,,-550,,,-450,,-360,,,,,,,,900
,T766 DWK,6457,,DAR,DAR,Likasi,2200,80,,,-550,,,-450,,-380,,,,,,,,900
,T574 EAF,6458,6867,DAR,COMIKA ,DAR,2200,100,,,-550,,,-450,,-400,,,,,,,,900
,T641 EAF,6459,6845,DAR,ZHANFEI,DAR,2400,100,,,-550,,,-450,,-600,,,,,,,,900
,T881 EEU,6460,6841,DAR,ZHANFEI,DAR,2400,60,,,-550,,,-450,,-560,,-400,,,,,,500
,T146 EFP,6461,6838,DAR,ZHANFEI,DAR,2400,60,,,-550,,,-450,,-560,,-400,-100,-400,,,,0
,T524 EEQ,6462,6849,DAR,TCC,DAR,2400,60,,,-550,,,-450,,-560,,,,,,,,900
