S/No.,Date,LPO No.,Diesel @,DO/SDO,Truck No.,Ltrs,Price per Ltr,Destinations
1,1-Nov,2150,LAKE CHILABOMBWE,6376,T530 DRF,40,1.2,Dar
2,1-Nov,2151,LAKE CHILABOMBWE,6530,T148 EGJ,40,1.2,Dar
3,2-Nov,2152,LAKE CHILABOMBWE,6510,T984 EFN,40,1.2,Dar
4,2-Nov,2152,LAKE CHILABOMBWE,6507,T469 EKZ,40,1.2,Dar
5,2-Nov,2152,LAKE CHILABOMBWE,6508,T533 EGD,40,1.2,Dar
6,2-Nov,2152,LAKE CHILABOMBWE,6509,T554 EKT,40,1.2,Dar
7,2-Nov,2153,LAKE CHILABOMBWE,6415,T546 EKT,40,1.2,Dar
8,3-Nov,2154,LAKE NDOLA ,6415,T546 EKT,50,1.2,DAR
9,3-Nov,2155,LAKE KAPIRI,6415,T546 EKT,350,1.2,DAR
10,3-Nov,2156,LAKE NDOLA ,6436,T458 EKZ,50,1.2,MSA
11,3-Nov,2156,LAKE NDOLA ,6744,T841 EKS,50,1.2,MSA
12,3-Nov,2156,LAKE NDOLA ,6741,T201 EHE,50,1.2,MSA
13,3-Nov,2156,LAKE NDOLA ,6753,T991 EFN,50,1.2,MSA
14,3-Nov,2156,LAKE NDOLA ,6745,T241 ELV,50,1.2,MSA
15,3-Nov,2156,LAKE NDOLA ,6759,T978 DVK,50,1.2,MSA
16,3-Nov,2156,LAKE NDOLA ,6757,T779 DWK,50,1.2,MSA
17,3-Nov,2156,LAKE NDOLA ,6772,T538 EKT,50,1.2,DAR
18,3-Nov,2156,LAKE NDOLA ,6773,T676 EAQ,50,1.2,DAR
19,3-Nov,2156,LAKE NDOLA ,6774,T218 EHE,50,1.2,DAR
20,3-Nov,2156,LAKE NDOLA ,6544,T852 EKS,50,1.2,DAR
21,3-Nov,2156,LAKE NDOLA ,6682,T462 EAG,50,1.2,DAR
22,3-Nov,2156,LAKE NDOLA ,6681,T137 DZY,50,1.2,DAR
23,3-Nov,2156,LAKE NDOLA ,6680,T575 EAF,50,1.2,DAR
24,3-Nov,2156,LAKE NDOLA ,6511,T767 DWK,50,1.2,DAR
25,3-Nov,2156,LAKE NDOLA ,6679,T698 DXY,50,1.2,DAR
26,3-Nov,2156,LAKE NDOLA ,6421,T219 ELV,50,1.2,MSA
27,3-Nov,2156,LAKE NDOLA ,6420,T213 EVL,50,1.2,MSA
28,3-Nov,2156,LAKE NDOLA ,6442,T221 ELV,50,1.2,MSA
29,3-Nov,2156,LAKE NDOLA ,6742,T213 EHE,50,1.2,MSA
30,3-Nov,2156,LAKE NDOLA ,6740,T543 EKT,50,1.2,MSA
31,3-Nov,2156,LAKE NDOLA ,6422,T653 ECQ,50,1.2,MSA
32,3-Nov,2156,LAKE NDOLA ,6746,T577 EAF,50,1.2,MSA
33,3-Nov,2156,LAKE NDOLA ,6752,T708 DXY,50,1.2,MSA
34,3-Nov,2156,LAKE NDOLA ,6747,T468 EKZ,50,1.2,MSA
35,3-Nov,2156,LAKE NDOLA ,6748,T986 EFN,50,1.2,MSA
36,3-Nov,2156,LAKE NDOLA ,6749,T477 EKZ,50,1.2,MSA
37,3-Nov,2156,LAKE NDOLA ,6423,T198 EHE,50,1.2,MSA
38,3-Nov,2156,LAKE NDOLA ,6620,T589 DTB,50,1.2,DAR
39,3-Nov,2157,LAKE KAPIRI,6436,T458 EKZ,350,1.2,MSA
40,3-Nov,2157,LAKE KAPIRI,6744,T841 EKS,350,1.2,MSA
41,3-Nov,2157,LAKE KAPIRI,6741,T201 EHE,350,1.2,MSA
42,3-Nov,2157,LAKE KAPIRI,6753,T991 EFN,350,1.2,MSA
43,3-Nov,2157,LAKE KAPIRI,6745,T241 ELV,350,1.2,MSA
44,3-Nov,2157,LAKE KAPIRI,6759,T978 DVK,350,1.2,MSA
45,3-Nov,2157,LAKE KAPIRI,6757,T779 DWK,350,1.2,MSA
46,3-Nov,2157,LAKE KAPIRI,6772,T538 EKT,350,1.2,DAR
47,3-Nov,2157,LAKE KAPIRI,6773,T676 EAQ,350,1.2,DAR
48,3-Nov,2157,LAKE KAPIRI,6774,T218 EHE,350,1.2,DAR
49,3-Nov,2157,LAKE KAPIRI,6544,T852 EKS,350,1.2,DAR
50,3-Nov,2157,LAKE KAPIRI,6682,T462 EAG,350,1.2,DAR
51,3-Nov,2157,LAKE KAPIRI,Cancelled,T137 DZY,350,1.2,DAR
52,3-Nov,2157,LAKE KAPIRI,6680,T575 EAF,350,1.2,DAR
53,3-Nov,2157,LAKE KAPIRI,6511,T767 DWK,350,1.2,DAR
54,3-Nov,2157,LAKE KAPIRI,6679,T698 DXY,350,1.2,DAR
55,3-Nov,2157,LAKE KAPIRI,6421,T219 ELV,350,1.2,MSA
56,3-Nov,2157,LAKE KAPIRI,6420,T213 EVL,350,1.2,MSA
